geo_id,state,state_name,acs_variable,estimate,margin_of_error,label,concept,estimate_type,coverage_type,age_group,labor_force,employed
01,AL,Alabama,DP03_0096,4307566,8603,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Selected Economic Characteristics,population_estimate,With health insurance coverage,overall,NA,NA
01,AL,Alabama,DP03_0096P,90,0.2,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Selected Economic Characteristics,percent_estimate,With health insurance coverage,overall,NA,NA
01,AL,Alabama,DP03_0097,3221648,15028,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Selected Economic Characteristics,population_estimate,With private health insurance,overall,NA,NA
01,AL,Alabama,DP03_0097P,67.3,0.3,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Selected Economic Characteristics,percent_estimate,With private health insurance,overall,NA,NA
01,AL,Alabama,DP03_0098,1745707,10498,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage,Selected Economic Characteristics,population_estimate,With public coverage,overall,NA,NA
01,AL,Alabama,DP03_0098P,36.5,0.2,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage,Selected Economic Characteristics,percent_estimate,With public coverage,overall,NA,NA
01,AL,Alabama,DP03_0099,477474,8636,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,Selected Economic Characteristics,population_estimate,No health insurance coverage,overall,NA,NA
01,AL,Alabama,DP03_0099P,10,0.2,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,Selected Economic Characteristics,percent_estimate,No health insurance coverage,overall,NA,NA
01,AL,Alabama,DP03_0101,38671,2254,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population under 19 years!!No health insurance coverage,Selected Economic Characteristics,population_estimate,No health insurance coverage, under 19 years,NA,NA
01,AL,Alabama,DP03_0101P,3.3,0.2,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population under 19 years!!No health insurance coverage,Selected Economic Characteristics,percent_estimate,No health insurance coverage, under 19 years,NA,NA
01,AL,Alabama,DP03_0105,1682856,8255,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage,Selected Economic Characteristics,population_estimate,With health insurance coverage, 19 to 64 years,In labor force,Employed
