seasonid,baseline,threshold,percent_pni,percent_complete,number_influenza,number_pneumonia,all_deaths,total_pni,week,geo_description,age_label,wk_start,wk_end,week_nr,mmwrid,coverage_area,state_name,callout,year,week_yr,state
59,NA,NA,0.05,0.982,0,48,954,48,40,State,All,2019-09-29,2019-10-05,40,3014,state,Alabama,At or Above Threshold,2019,2019-40,AL
59,NA,NA,0.038,0.968,0,36,940,36,41,State,All,2019-10-06,2019-10-12,41,3015,state,Alabama,At or Above Threshold,2019,2019-41,AL
59,NA,NA,0.045,1,0,45,1011,45,42,State,All,2019-10-13,2019-10-19,42,3016,state,Alabama,At or Above Threshold,2019,2019-42,AL
59,NA,NA,0.044,1,2,42,998,44,43,State,All,2019-10-20,2019-10-26,43,3017,state,Alabama,At or Above Threshold,2019,2019-43,AL
59,NA,NA,0.057,0.99,2,53,962,55,44,State,All,2019-10-27,2019-11-02,44,3018,state,Alabama,At or Above Threshold,2019,2019-44,AL
59,NA,NA,0.05,1,0,52,1050,52,45,State,All,2019-11-03,2019-11-09,45,3019,state,Alabama,At or Above Threshold,2019,2019-45,AL
59,NA,NA,0.061,1,0,67,1096,67,46,State,All,2019-11-10,2019-11-16,46,3020,state,Alabama,At or Above Threshold,2019,2019-46,AL
59,NA,NA,0.044,1,3,43,1057,46,47,State,All,2019-11-17,2019-11-23,47,3021,state,Alabama,At or Above Threshold,2019,2019-47,AL
59,NA,NA,0.077,1,2,78,1045,80,48,State,All,2019-11-24,2019-11-30,48,3022,state,Alabama,At or Above Threshold,2019,2019-48,AL
59,NA,NA,0.053,1,2,55,1066,57,49,State,All,2019-12-01,2019-12-07,49,3023,state,Alabama,At or Above Threshold,2019,2019-49,AL
59,NA,NA,0.056,1,3,59,1109,62,50,State,All,2019-12-08,2019-12-14,50,3024,state,Alabama,At or Above Threshold,2019,2019-50,AL
59,NA,NA,0.055,1,2,59,1111,61,51,State,All,2019-12-15,2019-12-21,51,3025,state,Alabama,At or Above Threshold,2019,2019-51,AL
59,NA,NA,0.054,1,2,55,1052,57,52,State,All,2019-12-22,2019-12-28,52,3026,state,Alabama,At or Above Threshold,2019,2019-52,AL
59,NA,NA,0.067,1,5,67,1081,72,1,State,All,2019-12-29,2020-01-04,1,3027,state,Alabama,At or Above Threshold,2019,2019-01,AL
59,NA,NA,0.081,1,8,83,1129,91,2,State,All,2020-01-05,2020-01-11,2,3028,state,Alabama,At or Above Threshold,2020,2020-2,AL
59,NA,NA,0.066,1,7,62,1051,69,3,State,All,2020-01-12,2020-01-18,3,3029,state,Alabama,At or Above Threshold,2020,2020-3,AL
59,NA,NA,0.069,1,7,65,1049,72,4,State,All,2020-01-19,2020-01-25,4,3030,state,Alabama,At or Above Threshold,2020,2020-4,AL
59,NA,NA,0.067,1,15,53,1015,68,5,State,All,2020-01-26,2020-02-01,5,3031,state,Alabama,At or Above Threshold,2020,2020-5,AL
59,NA,NA,0.069,1,11,62,1058,73,6,State,All,2020-02-02,2020-02-08,6,3032,state,Alabama,At or Above Threshold,2020,2020-6,AL
59,NA,NA,0.079,1,6,76,1035,82,7,State,All,2020-02-09,2020-02-15,7,3033,state,Alabama,At or Above Threshold,2020,2020-7,AL
59,NA,NA,0.074,1,3,70,980,73,8,State,All,2020-02-16,2020-02-22,8,3034,state,Alabama,At or Above Threshold,2020,2020-8,AL
59,NA,NA,0.071,0.981,11,57,953,68,9,State,All,2020-02-23,2020-02-29,9,3035,state,Alabama,At or Above Threshold,2020,2020-9,AL
59,NA,NA,0.064,0.64,6,34,622,40,10,State,All,2020-03-01,2020-03-07,10,3036,state,Alabama,At or Above Threshold,2020,2020-10,AL
59,NA,NA,0.065,1,0,6,93,6,40,State,All,2019-09-29,2019-10-05,40,3014,state,Alaska,At or Above Threshold,2019,2019-40,AK
59,NA,NA,0.074,1,0,7,94,7,41,State,All,2019-10-06,2019-10-12,41,3015,state,Alaska,At or Above Threshold,2019,2019-41,AK
59,NA,NA,0.032,1,0,3,95,3,42,State,All,2019-10-13,2019-10-19,42,3016,state,Alaska,At or Above Threshold,2019,2019-42,AK
59,NA,NA,0.057,0.861,0,4,70,4,43,State,All,2019-10-20,2019-10-26,43,3017,state,Alaska,At or Above Threshold,2019,2019-43,AK
59,NA,NA,0.058,1,0,5,86,5,44,State,All,2019-10-27,2019-11-02,44,3018,state,Alaska,At or Above Threshold,2019,2019-44,AK
59,NA,NA,0.072,1,0,7,97,7,45,State,All,2019-11-03,2019-11-09,45,3019,state,Alaska,At or Above Threshold,2019,2019-45,AK
59,NA,NA,0.011,1,0,1,90,1,46,State,All,2019-11-10,2019-11-16,46,3020,state,Alaska,At or Above Threshold,2019,2019-46,AK
59,NA,NA,0.043,1,0,4,94,4,47,State,All,2019-11-17,2019-11-23,47,3021,state,Alaska,At or Above Threshold,2019,2019-47,AK
59,NA,NA,0.047,1,0,5,107,5,48,State,All,2019-11-24,2019-11-30,48,3022,state,Alaska,At or Above Threshold,2019,2019-48,AK
59,NA,NA,0.069,1,1,6,101,7,49,State,All,2019-12-01,2019-12-07,49,3023,state,Alaska,At or Above Threshold,2019,2019-49,AK
59,NA,NA,0.032,1,0,3,95,3,50,State,All,2019-12-08,2019-12-14,50,3024,state,Alaska,At or Above Threshold,2019,2019-50,AK
59,NA,NA,0.036,1,1,2,84,3,51,State,All,2019-12-15,2019-12-21,51,3025,state,Alaska,At or Above Threshold,2019,2019-51,AK
59,NA,NA,0.126,1,1,12,103,13,52,State,All,2019-12-22,2019-12-28,52,3026,state,Alaska,At or Above Threshold,2019,2019-52,AK
59,NA,NA,0.057,1,1,4,88,5,1,State,All,2019-12-29,2020-01-04,1,3027,state,Alaska,At or Above Threshold,2019,2019-01,AK
59,NA,NA,0.038,1,0,4,105,4,2,State,All,2020-01-05,2020-01-11,2,3028,state,Alaska,At or Above Threshold,2020,2020-2,AK
59,NA,NA,0.041,1,0,4,98,4,3,State,All,2020-01-12,2020-01-18,3,3029,state,Alaska,At or Above Threshold,2020,2020-3,AK
59,NA,NA,0.021,1,0,2,94,2,4,State,All,2020-01-19,2020-01-25,4,3030,state,Alaska,At or Above Threshold,2020,2020-4,AK
59,NA,NA,0.049,1,1,3,82,4,5,State,All,2020-01-26,2020-02-01,5,3031,state,Alaska,At or Above Threshold,2020,2020-5,AK
59,NA,NA,0.048,1,1,3,84,4,6,State,All,2020-02-02,2020-02-08,6,3032,state,Alaska,At or Above Threshold,2020,2020-6,AK
59,NA,NA,0,1,0,0,82,0,7,State,All,2020-02-09,2020-02-15,7,3033,state,Alaska,At or Above Threshold,2020,2020-7,AK
59,NA,NA,0.059,0.836,0,4,68,4,8,State,All,2020-02-16,2020-02-22,8,3034,state,Alaska,At or Above Threshold,2020,2020-8,AK
59,NA,NA,0.037,0.664,1,1,54,2,9,State,All,2020-02-23,2020-02-29,9,3035,state,Alaska,At or Above Threshold,2020,2020-9,AK
59,NA,NA,0,0.381,0,0,31,0,10,State,All,2020-03-01,2020-03-07,10,3036,state,Alaska,At or Above Threshold,2020,2020-10,AK
59,NA,NA,0.046,1,0,51,1110,51,40,State,All,2019-09-29,2019-10-05,40,3014,state,Arizona,At or Above Threshold,2019,2019-40,AZ
59,NA,NA,0.046,1,2,49,1113,51,41,State,All,2019-10-06,2019-10-12,41,3015,state,Arizona,At or Above Threshold,2019,2019-41,AZ
59,NA,NA,0.046,1,2,51,1140,53,42,State,All,2019-10-13,2019-10-19,42,3016,state,Arizona,At or Above Threshold,2019,2019-42,AZ
59,NA,NA,0.053,0.977,1,53,1012,54,43,State,All,2019-10-20,2019-10-26,43,3017,state,Arizona,At or Above Threshold,2019,2019-43,AZ
59,NA,NA,0.057,1,1,63,1131,64,44,State,All,2019-10-27,2019-11-02,44,3018,state,Arizona,At or Above Threshold,2019,2019-44,AZ
59,NA,NA,0.049,1,0,61,1243,61,45,State,All,2019-11-03,2019-11-09,45,3019,state,Arizona,At or Above Threshold,2019,2019-45,AZ
59,NA,NA,0.061,1,0,72,1175,72,46,State,All,2019-11-10,2019-11-16,46,3020,state,Arizona,At or Above Threshold,2019,2019-46,AZ
59,NA,NA,0.054,1,1,63,1190,64,47,State,All,2019-11-17,2019-11-23,47,3021,state,Arizona,At or Above Threshold,2019,2019-47,AZ
59,NA,NA,0.051,1,2,55,1113,57,48,State,All,2019-11-24,2019-11-30,48,3022,state,Arizona,At or Above Threshold,2019,2019-48,AZ
59,NA,NA,0.05,1,5,55,1191,60,49,State,All,2019-12-01,2019-12-07,49,3023,state,Arizona,At or Above Threshold,2019,2019-49,AZ
59,NA,NA,0.072,1,3,80,1160,83,50,State,All,2019-12-08,2019-12-14,50,3024,state,Arizona,At or Above Threshold,2019,2019-50,AZ
59,NA,NA,0.056,1,2,62,1151,64,51,State,All,2019-12-15,2019-12-21,51,3025,state,Arizona,At or Above Threshold,2019,2019-51,AZ
59,NA,NA,0.048,1,0,57,1200,57,52,State,All,2019-12-22,2019-12-28,52,3026,state,Arizona,At or Above Threshold,2019,2019-52,AZ
59,NA,NA,0.067,1,4,81,1268,85,1,State,All,2019-12-29,2020-01-04,1,3027,state,Arizona,At or Above Threshold,2019,2019-01,AZ
59,NA,NA,0.069,1,8,84,1343,92,2,State,All,2020-01-05,2020-01-11,2,3028,state,Arizona,At or Above Threshold,2020,2020-2,AZ
59,NA,NA,0.055,1,7,62,1248,69,3,State,All,2020-01-12,2020-01-18,3,3029,state,Arizona,At or Above Threshold,2020,2020-3,AZ
59,NA,NA,0.079,1,11,86,1222,97,4,State,All,2020-01-19,2020-01-25,4,3030,state,Arizona,At or Above Threshold,2020,2020-4,AZ
59,NA,NA,0.065,1,11,69,1222,80,5,State,All,2020-01-26,2020-02-01,5,3031,state,Arizona,At or Above Threshold,2020,2020-5,AZ
59,NA,NA,0.071,1,9,77,1208,86,6,State,All,2020-02-02,2020-02-08,6,3032,state,Arizona,At or Above Threshold,2020,2020-6,AZ
59,NA,NA,0.079,1,14,84,1245,98,7,State,All,2020-02-09,2020-02-15,7,3033,state,Arizona,At or Above Threshold,2020,2020-7,AZ
59,NA,NA,0.069,1,9,75,1224,84,8,State,All,2020-02-16,2020-02-22,8,3034,state,Arizona,At or Above Threshold,2020,2020-8,AZ
59,NA,NA,0.066,1,10,62,1091,72,9,State,All,2020-02-23,2020-02-29,9,3035,state,Arizona,At or Above Threshold,2020,2020-9,AZ
59,NA,NA,0.054,0.875,8,41,907,49,10,State,All,2020-03-01,2020-03-07,10,3036,state,Arizona,At or Above Threshold,2020,2020-10,AZ
59,NA,NA,0.045,0.966,0,26,579,26,40,State,All,2019-09-29,2019-10-05,40,3014,state,Arkansas,At or Above Threshold,2019,2019-40,AR
59,NA,NA,0.048,1,0,29,602,29,41,State,All,2019-10-06,2019-10-12,41,3015,state,Arkansas,At or Above Threshold,2019,2019-41,AR
59,NA,NA,0.056,1,0,35,625,35,42,State,All,2019-10-13,2019-10-19,42,3016,state,Arkansas,At or Above Threshold,2019,2019-42,AR
59,NA,NA,0.064,1,2,39,639,41,43,State,All,2019-10-20,2019-10-26,43,3017,state,Arkansas,At or Above Threshold,2019,2019-43,AR
59,NA,NA,0.048,1,0,29,607,29,44,State,All,2019-10-27,2019-11-02,44,3018,state,Arkansas,At or Above Threshold,2019,2019-44,AR
59,NA,NA,0.069,1,0,43,621,43,45,State,All,2019-11-03,2019-11-09,45,3019,state,Arkansas,At or Above Threshold,2019,2019-45,AR
59,NA,NA,0.064,1,1,42,677,43,46,State,All,2019-11-10,2019-11-16,46,3020,state,Arkansas,At or Above Threshold,2019,2019-46,AR
59,NA,NA,0.05,1,0,32,645,32,47,State,All,2019-11-17,2019-11-23,47,3021,state,Arkansas,At or Above Threshold,2019,2019-47,AR
59,NA,NA,0.051,1,0,34,666,34,48,State,All,2019-11-24,2019-11-30,48,3022,state,Arkansas,At or Above Threshold,2019,2019-48,AR
59,NA,NA,0.066,1,0,41,623,41,49,State,All,2019-12-01,2019-12-07,49,3023,state,Arkansas,At or Above Threshold,2019,2019-49,AR
59,NA,NA,0.052,1,2,33,670,35,50,State,All,2019-12-08,2019-12-14,50,3024,state,Arkansas,At or Above Threshold,2019,2019-50,AR
59,NA,NA,0.068,1,2,40,621,42,51,State,All,2019-12-15,2019-12-21,51,3025,state,Arkansas,At or Above Threshold,2019,2019-51,AR
59,NA,NA,0.069,1,3,46,714,49,52,State,All,2019-12-22,2019-12-28,52,3026,state,Arkansas,At or Above Threshold,2019,2019-52,AR
59,NA,NA,0.089,1,6,56,695,62,1,State,All,2019-12-29,2020-01-04,1,3027,state,Arkansas,At or Above Threshold,2019,2019-01,AR
59,NA,NA,0.084,1,4,54,692,58,2,State,All,2020-01-05,2020-01-11,2,3028,state,Arkansas,At or Above Threshold,2020,2020-2,AR
59,NA,NA,0.072,1,6,41,653,47,3,State,All,2020-01-12,2020-01-18,3,3029,state,Arkansas,At or Above Threshold,2020,2020-3,AR
59,NA,NA,0.071,1,4,40,616,44,4,State,All,2020-01-19,2020-01-25,4,3030,state,Arkansas,At or Above Threshold,2020,2020-4,AR
59,NA,NA,0.094,1,7,57,679,64,5,State,All,2020-01-26,2020-02-01,5,3031,state,Arkansas,At or Above Threshold,2020,2020-5,AR
59,NA,NA,0.081,1,7,47,667,54,6,State,All,2020-02-02,2020-02-08,6,3032,state,Arkansas,At or Above Threshold,2020,2020-6,AR
59,NA,NA,0.056,1,4,34,680,38,7,State,All,2020-02-09,2020-02-15,7,3033,state,Arkansas,At or Above Threshold,2020,2020-7,AR
59,NA,NA,0.075,1,7,42,651,49,8,State,All,2020-02-16,2020-02-22,8,3034,state,Arkansas,At or Above Threshold,2020,2020-8,AR
59,NA,NA,0.054,0.966,5,26,579,31,9,State,All,2020-02-23,2020-02-29,9,3035,state,Arkansas,At or Above Threshold,2020,2020-9,AR
59,NA,NA,0.071,0.846,7,29,507,36,10,State,All,2020-03-01,2020-03-07,10,3036,state,Arkansas,At or Above Threshold,2020,2020-10,AR
59,NA,NA,0.053,1,1,263,4954,264,40,State,All,2019-09-29,2019-10-05,40,3014,state,California,At or Above Threshold,2019,2019-40,CA
59,NA,NA,0.063,0.994,0,306,4887,306,41,State,All,2019-10-06,2019-10-12,41,3015,state,California,At or Above Threshold,2019,2019-41,CA
59,NA,NA,0.058,1,2,291,5043,293,42,State,All,2019-10-13,2019-10-19,42,3016,state,California,At or Above Threshold,2019,2019-42,CA
59,NA,NA,0.062,1,2,311,5070,313,43,State,All,2019-10-20,2019-10-26,43,3017,state,California,At or Above Threshold,2019,2019-43,CA
59,NA,NA,0.064,1,3,321,5100,324,44,State,All,2019-10-27,2019-11-02,44,3018,state,California,At or Above Threshold,2019,2019-44,CA
59,NA,NA,0.065,1,5,337,5271,342,45,State,All,2019-11-03,2019-11-09,45,3019,state,California,At or Above Threshold,2019,2019-45,CA
59,NA,NA,0.059,1,2,296,5082,298,46,State,All,2019-11-10,2019-11-16,46,3020,state,California,At or Above Threshold,2019,2019-46,CA
59,NA,NA,0.061,1,3,311,5124,314,47,State,All,2019-11-17,2019-11-23,47,3021,state,California,At or Above Threshold,2019,2019-47,CA
59,NA,NA,0.058,1,9,290,5153,299,48,State,All,2019-11-24,2019-11-30,48,3022,state,California,At or Above Threshold,2019,2019-48,CA
59,NA,NA,0.07,1,14,369,5478,383,49,State,All,2019-12-01,2019-12-07,49,3023,state,California,At or Above Threshold,2019,2019-49,CA
59,NA,NA,0.068,1,11,351,5321,362,50,State,All,2019-12-08,2019-12-14,50,3024,state,California,At or Above Threshold,2019,2019-50,CA
59,NA,NA,0.068,1,12,353,5361,365,51,State,All,2019-12-15,2019-12-21,51,3025,state,California,At or Above Threshold,2019,2019-51,CA
59,NA,NA,0.068,1,22,355,5505,377,52,State,All,2019-12-22,2019-12-28,52,3026,state,California,At or Above Threshold,2019,2019-52,CA
59,NA,NA,0.085,1,39,455,5835,494,1,State,All,2019-12-29,2020-01-04,1,3027,state,California,At or Above Threshold,2019,2019-01,CA
59,NA,NA,0.078,1,47,406,5810,453,2,State,All,2020-01-05,2020-01-11,2,3028,state,California,At or Above Threshold,2020,2020-2,CA
59,NA,NA,0.096,1,60,491,5743,551,3,State,All,2020-01-12,2020-01-18,3,3029,state,California,At or Above Threshold,2020,2020-3,CA
59,NA,NA,0.087,1,68,430,5748,498,4,State,All,2020-01-19,2020-01-25,4,3030,state,California,At or Above Threshold,2020,2020-4,CA
59,NA,NA,0.083,1,56,411,5607,467,5,State,All,2020-01-26,2020-02-01,5,3031,state,California,At or Above Threshold,2020,2020-5,CA
59,NA,NA,0.086,1,63,434,5802,497,6,State,All,2020-02-02,2020-02-08,6,3032,state,California,At or Above Threshold,2020,2020-6,CA
59,NA,NA,0.087,1,66,405,5421,471,7,State,All,2020-02-09,2020-02-15,7,3033,state,California,At or Above Threshold,2020,2020-7,CA
59,NA,NA,0.09,1,68,427,5510,495,8,State,All,2020-02-16,2020-02-22,8,3034,state,California,At or Above Threshold,2020,2020-8,CA
