county,last_updated,cases,deaths,recovered,state,source
New York,2020-03-26T19:54:00Z,21873,281,0,New York,csbs
Westchester,2020-03-26T19:54:00Z,5944,1,0,New York,csbs
Nassau,2020-03-26T19:54:00Z,3914,17,0,New York,csbs
Suffolk,2020-03-26T19:54:00Z,2735,22,0,New York,csbs
Rockland,2020-03-26T19:54:00Z,1197,5,0,New York,csbs
Orange,2020-03-26T19:54:00Z,751,1,0,New York,csbs
Erie,2020-03-26T19:54:00Z,206,2,0,New York,csbs
Dutchess,2020-03-26T19:54:00Z,190,1,0,New York,csbs
Albany,2020-03-26T19:54:00Z,171,0,0,New York,csbs
Monroe,2020-03-26T19:54:00Z,148,4,0,New York,csbs
Onondaga,2020-03-26T19:54:00Z,111,1,0,New York,csbs
Putnam,2020-03-26T19:54:00Z,94,0,0,New York,csbs
Ulster,2020-03-26T19:54:00Z,78,0,0,New York,csbs
Saratoga,2020-03-26T19:54:00Z,73,0,0,New York,csbs
Schenectady,2020-03-26T19:54:00Z,62,1,0,New York,csbs
Sullivan,2020-03-26T19:54:00Z,53,0,0,New York,csbs
Rensselaer,2020-03-26T19:54:00Z,44,0,0,New York,csbs
Tompkins,2020-03-26T19:54:00Z,32,0,0,New York,csbs
Columbia,2020-03-26T19:54:00Z,24,0,0,New York,csbs
Broome,2020-03-26T19:54:00Z,16,2,0,New York,csbs
Niagara,2020-03-26T19:54:00Z,14,0,0,New York,csbs
Oneida,2020-03-26T19:54:00Z,13,0,0,New York,csbs
Ontario,2020-03-26T19:54:00Z,11,0,0,New York,csbs
Clinton,2020-03-26T19:54:00Z,11,0,0,New York,csbs
Steuben,2020-03-26T19:54:00Z,11,0,0,New York,csbs
Madison,2020-03-26T19:54:00Z,9,1,0,New York,csbs
Wayne,2020-03-26T19:54:00Z,8,0,0,New York,csbs
Delaware,2020-03-26T19:54:00Z,7,0,0,New York,csbs
Herkimer,2020-03-26T19:54:00Z,7,0,0,New York,csbs
Wyoming,2020-03-26T19:54:00Z,7,1,0,New York,csbs
Chemung,2020-03-26T19:54:00Z,7,0,0,New York,csbs
Greene,2020-03-26T19:54:00Z,5,0,0,New York,csbs
Montgomery,2020-03-26T19:54:00Z,5,0,0,New York,csbs
Essex,2020-03-26T19:54:00Z,5,0,0,New York,csbs
Genesee,2020-03-26T19:54:00Z,4,0,0,New York,csbs
Washington,2020-03-26T19:54:00Z,4,0,0,New York,csbs
Jefferson,2020-03-26T19:54:00Z,4,0,0,New York,csbs
Oswego,2020-03-26T19:54:00Z,4,0,0,New York,csbs
St. Lawrence,2020-03-26T19:54:00Z,4,0,0,New York,csbs
Chenango,2020-03-26T19:54:00Z,3,0,0,New York,csbs
Livingston,2020-03-26T19:54:00Z,3,0,0,New York,csbs
Cortland,2020-03-26T19:54:00Z,3,0,0,New York,csbs
Otsego,2020-03-26T19:54:00Z,3,0,0,New York,csbs
Tioga,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Allegany,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Warren,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Hamilton,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Schoharie,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Cayuga,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Chautauqua,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Orleans,2020-03-26T19:54:00Z,2,0,0,New York,csbs
Fulton,2020-03-26T19:54:00Z,1,0,0,New York,csbs
Franklin,2020-03-26T19:54:00Z,1,0,0,New York,csbs
Bergen,2020-03-26T19:54:00Z,1206,6,0,New Jersey,csbs
Essex,2020-03-26T19:54:00Z,609,4,0,New Jersey,csbs
Middlesex,2020-03-26T19:54:00Z,505,0,0,New Jersey,csbs
Monmouth,2020-03-26T19:54:00Z,501,3,0,New Jersey,csbs
Hudson,2020-03-26T19:54:00Z,441,1,0,New Jersey,csbs
Union,2020-03-26T19:54:00Z,432,0,0,New Jersey,csbs
Passaic,2020-03-26T19:54:00Z,399,0,0,New Jersey,csbs
Ocean,2020-03-26T19:54:00Z,389,1,0,New Jersey,csbs
Morris,2020-03-26T19:54:00Z,315,1,0,New Jersey,csbs
Somerset,2020-03-26T19:54:00Z,179,1,0,New Jersey,csbs
Mercer,2020-03-26T19:54:00Z,111,0,0,New Jersey,csbs
Camden,2020-03-26T19:54:00Z,73,1,0,New Jersey,csbs
Burlington,2020-03-26T19:54:00Z,64,0,0,New Jersey,csbs
Sussex,2020-03-26T19:54:00Z,49,0,0,New Jersey,csbs
Hunterdon,2020-03-26T19:54:00Z,39,0,0,New Jersey,csbs
Gloucester,2020-03-26T19:54:00Z,33,0,0,New Jersey,csbs
Warren,2020-03-26T19:54:00Z,31,0,0,New Jersey,csbs
Atlantic,2020-03-26T19:54:00Z,10,0,0,New Jersey,csbs
Cape May,2020-03-26T19:54:00Z,6,0,0,New Jersey,csbs
Cumberland,2020-03-26T19:54:00Z,4,0,0,New Jersey,csbs
Salem,2020-03-26T19:54:00Z,2,0,0,New Jersey,csbs
Los Angeles,2020-03-26T19:54:00Z,1230,21,0,California,csbs
